date,open,high,low,close,volume
1445879100000,1854.57,1854.58,1854.37,1854.5,5.858
1445879160000,1854.5,1855.32,1854.4,1854.77,34.92
1445879220000,1854.77,1855.25,1854.69,1854.91,34.923
1445879280000,1854.96,1855.2,1854.82,1855.2,46.361
1445879340000,1855.19,1855.31,1854.09,1855.12,47.522
1445879400000,1855.12,1856.0,1855.0,1855.37,97.786
1445879460000,1855.36,1855.45,1855.17,1855.21,33.381
1445879520000,1855.22,1856.0,1855.16,1855.31,75.782
1445879580000,1855.32,1855.64,1855.16,1855.16,37.074
1445879640000,1855.16,1856.0,1855.16,1855.37,101.248
1445879700000,1855.17,1855.38,1855.16,1855.21,26.91
1445879760000,1855.21,1855.33,1854.71,1855.2,64.56
1445879820000,1855.2,1855.38,1854.17,1854.52,68.667
1445879880000,1854.52,1855.29,1854.0,1854.39,154.191
1445879940000,1854.42,1854.71,1854.0,1854.6,117.529
1445880000000,1854.6,1855.0,1854.03,1854.81,70.09
1445880060000,1854.81,1854.81,1854.15,1854.52,94.046
1445880120000,1854.52,1854.52,1854.14,1854.44,33.438
1445880180000,1854.44,1855.0,1854.43,1854.62,35.947
1445880240000,1854.62,1855.0,1854.62,1855.0,38.484
1445880300000,1854.97,1855.16,1854.76,1854.91,79.218
1445880360000,1854.91,1855.16,1854.33,1855.02,58.789
1445880420000,1854.94,1855.76,1854.94,1855.15,59.995
1445880480000,1855.16,1855.86,1854.91,1855.42,104.579
1445880540000,1855.42,1855.56,1855.16,1855.28,34.64
1445880600000,1855.21,1855.8,1855.19,1855.51,22.161
1445880660000,1855.51,1855.51,1855.13,1855.34,24.134
1445880720000,1855.34,1855.52,1854.0,1854.0,170.885
1445880780000,1854.0,1854.33,1853.16,1853.22,188.118
1445880840000,1853.22,1855.31,1852.88,1854.67,202.717
1445880900000,1854.67,1855.93,1854.65,1855.58,230.42
1445880960000,1855.58,1855.59,1855.05,1855.39,35.855
1445881020000,1855.28,1855.28,1855.05,1855.21,17.864
1445881080000,1855.22,1855.42,1854.29,1854.41,32.789
1445881140000,1854.35,1854.88,1854.08,1854.46,41.639
1445881200000,1854.54,1854.76,1853.6,1853.6,76.512
1445881260000,1853.56,1853.6,1852.16,1852.54,276.708
1445881320000,1852.42,1853.25,1852.16,1852.83,207.372
1445881440000,1852.83,1853.64,1852.83,1853.31,38.561
1445881500000,1853.31,1854.0,1853.31,1853.82,72.603
